project_id,project_name,district,project_type,total_acres,land_acquired_pct,approval_days_pending,compensation_disbursed_pct,legal_cases_count,ownership_disputes,rnp_progress_pct,possession_pct,affected_families,doc_deficiency_score,historical_district_delay_avg,delay_label,actual_delay_days,intervention_taken,intervention_date
5074,Pune Highway Project #5074,Pune,Highway,784.4,28.7,15,63.8,1,9,83.5,75.3,795,0.141,83.3,0,,,
5075,Aurangabad Irrigation Project #5075,Aurangabad,Irrigation,308.8,36.9,57,63.4,2,13,27.2,72.2,341,0.318,97.5,0,,,
5076,Pune Irrigation Project #5076,Pune,Irrigation,918.2,93.4,18,23.8,5,9,59.6,59.4,719,0.555,101.8,1,,,
5077,Aurangabad Highway Project #5077,Aurangabad,Highway,579.2,98.9,72,33.2,2,2,24.2,26.1,90,0.943,118.5,0,,,
5078,Aurangabad Railway Project #5078,Aurangabad,Railway,230.7,92.9,10,51.2,7,9,29.9,55.0,723,0.989,98.9,0,,,
5079,Nagpur Metro Project #5079,Nagpur,Metro,979.5,58.8,81,82.5,7,15,84.4,93.9,554,0.491,122.5,0,,,
5080,Pune Metro Project #5080,Pune,Metro,598.9,78.8,46,50.6,10,8,96.6,16.4,200,0.912,98.6,0,,,
5081,Nagpur Irrigation Project #5081,Nagpur,Irrigation,664.3,45.1,82,78.5,3,7,79.4,26.9,786,0.377,118.6,0,,,
5082,Nagpur Metro Project #5082,Nagpur,Metro,478.4,20.2,2,15.8,0,12,73.4,30.8,68,0.828,136.1,0,,,
5083,Mumbai Metro Project #5083,Mumbai,Metro,227.7,19.3,37,61.6,11,0,19.2,34.7,399,0.911,157.0,1,,,
5084,Nashik Highway Project #5084,Nashik,Highway,115.9,98.0,49,62.3,8,7,10.3,96.7,56,0.427,61.1,0,,,
5085,Mumbai Railway Project #5085,Mumbai,Railway,474.4,48.9,76,34.9,4,3,51.0,94.8,280,0.969,162.8,1,,,
5086,Mumbai Railway Project #5086,Mumbai,Railway,670.0,43.6,55,12.2,5,10,99.4,71.2,613,0.845,139.3,1,,,
5087,Aurangabad Irrigation Project #5087,Aurangabad,Irrigation,488.6,32.9,37,61.0,6,7,84.0,47.6,198,0.715,109.2,0,,,
5088,Nashik Highway Project #5088,Nashik,Highway,166.7,42.5,7,62.2,8,10,25.5,35.6,481,0.42,89.3,0,,,
5089,Mumbai Irrigation Project #5089,Mumbai,Irrigation,815.5,82.8,115,84.7,11,8,29.8,36.8,22,0.89,154.6,1,,,
5090,Nagpur Railway Project #5090,Nagpur,Railway,247.0,40.5,62,43.2,7,7,65.6,23.4,123,0.393,117.8,1,,,
5091,Pune Highway Project #5091,Pune,Highway,391.8,58.1,26,76.1,5,6,95.8,28.2,780,0.591,71.0,0,,,
5092,Nashik Railway Project #5092,Nashik,Railway,194.1,64.6,96,58.3,1,5,16.3,56.0,502,0.084,47.0,0,,,
5093,Aurangabad Railway Project #5093,Aurangabad,Railway,956.8,20.6,11,43.3,6,4,58.6,95.5,584,0.086,120.5,1,,,
5094,Nashik Irrigation Project #5094,Nashik,Irrigation,168.2,89.8,111,32.3,8,0,81.8,89.4,391,0.664,72.5,1,,,
5095,Aurangabad Irrigation Project #5095,Aurangabad,Irrigation,120.8,54.6,74,33.2,12,11,76.0,48.0,388,0.652,77.5,1,,,
5096,Aurangabad Railway Project #5096,Aurangabad,Railway,236.5,76.0,119,48.4,2,3,71.5,36.0,319,0.919,107.8,1,,,
5097,Pune Highway Project #5097,Pune,Highway,980.6,45.7,110,42.4,3,11,97.6,16.7,175,0.066,85.2,1,,,
5098,Nagpur Irrigation Project #5098,Nagpur,Irrigation,683.0,42.2,66,15.6,1,0,86.4,69.9,482,0.083,126.1,0,,,
5099,Aurangabad Railway Project #5099,Aurangabad,Railway,330.9,98.7,27,95.9,1,7,42.0,43.2,37,0.67,105.8,0,,,
5100,Aurangabad Metro Project #5100,Aurangabad,Metro,338.7,20.8,41,22.9,11,8,42.9,34.3,746,0.243,119.3,1,,,
