project_id,project_name,district,project_type,total_acres,land_acquired_pct,approval_days_pending,compensation_disbursed_pct,legal_cases_count,ownership_disputes,rnp_progress_pct,possession_pct,affected_families,doc_deficiency_score,historical_district_delay_avg,delay_label,actual_delay_days,intervention_taken,intervention_date
17,Nashik Railway Project #17,Nashik,Railway,782.9,89.5,38,97.4,11,12,26.6,75.7,517,0.563,72.4,0,2,,
18,Aurangabad Irrigation Project #18,Aurangabad,Irrigation,919.4,24.4,15,74.5,6,9,64.6,23.2,251,0.654,109.8,0,1,,
19,Mumbai Metro Project #19,Mumbai,Metro,861.8,40.6,17,71.4,10,11,66.5,24.1,348,0.132,148.0,0,0,,
20,Nashik Highway Project #20,Nashik,Highway,699.0,40.2,94,60.3,9,1,77.7,60.5,29,0.132,75.7,0,2,,
21,Pune Railway Project #21,Pune,Railway,99.7,13.8,74,21.3,3,8,49.5,31.6,673,0.035,78.8,1,103,,
22,Aurangabad Highway Project #22,Aurangabad,Highway,793.7,63.8,101,27.0,1,2,66.9,14.4,180,0.761,102.2,0,9,,
23,Nashik Irrigation Project #23,Nashik,Irrigation,853.2,86.9,19,36.1,8,9,53.8,93.4,225,0.331,68.6,1,141,,
24,Mumbai Highway Project #24,Mumbai,Highway,809.1,44.3,116,90.1,12,10,95.3,15.0,753,0.225,138.0,0,5,,
25,Mumbai Metro Project #25,Mumbai,Metro,533.1,76.6,45,25.6,8,1,57.0,74.6,25,0.778,162.3,1,64,,
26,Nagpur Metro Project #26,Nagpur,Metro,271.3,66.5,116,93.1,5,7,28.9,40.0,292,0.143,112.0,0,10,,
27,Nagpur Irrigation Project #27,Nagpur,Irrigation,853.1,43.8,44,57.1,1,3,70.1,94.0,310,0.427,127.9,0,2,,
28,Pune Highway Project #28,Pune,Highway,740.8,22.7,3,74.4,2,10,59.4,98.7,174,0.745,81.2,0,11,,
29,Nashik Irrigation Project #29,Nashik,Irrigation,981.7,73.8,83,19.9,4,1,82.3,40.2,790,0.574,77.0,1,137,,
30,Nashik Highway Project #30,Nashik,Highway,197.9,86.9,94,34.2,10,3,25.9,63.2,700,0.554,53.9,1,44,,
31,Nagpur Railway Project #31,Nagpur,Railway,264.4,71.7,19,96.3,10,6,33.5,79.6,267,0.157,134.1,0,9,,
32,Nashik Metro Project #32,Nashik,Metro,251.2,11.6,10,34.0,4,14,92.9,21.1,597,0.181,81.4,1,37,,
33,Nashik Irrigation Project #33,Nashik,Irrigation,802.9,29.5,113,36.7,12,13,93.7,73.9,626,0.583,64.5,1,52,,
34,Mumbai Railway Project #34,Mumbai,Railway,227.6,16.3,64,27.8,8,15,49.8,91.6,362,0.024,141.7,1,119,,
35,Nagpur Railway Project #35,Nagpur,Railway,113.3,61.3,107,21.6,9,6,14.3,26.1,96,0.869,124.6,1,44,,
36,Aurangabad Irrigation Project #36,Aurangabad,Irrigation,998.6,78.1,17,31.0,2,0,37.6,85.5,535,0.35,94.7,0,7,,
37,Nagpur Irrigation Project #37,Nagpur,Irrigation,73.6,20.0,38,67.8,1,12,32.2,20.4,768,0.417,120.3,0,9,,
38,Aurangabad Railway Project #38,Aurangabad,Railway,843.5,85.5,43,51.0,9,11,47.3,61.1,762,0.258,101.9,0,9,,
39,Mumbai Highway Project #39,Mumbai,Highway,397.1,60.0,96,59.8,7,11,38.6,40.5,18,0.877,147.5,1,85,,
40,Pune Railway Project #40,Pune,Railway,849.5,72.1,117,21.0,6,0,84.6,52.5,472,0.643,83.6,1,31,,
41,Nashik Irrigation Project #41,Nashik,Irrigation,576.9,97.4,99,82.2,11,2,10.3,37.1,545,0.45,62.0,0,11,,
42,Mumbai Railway Project #42,Mumbai,Railway,906.5,17.5,17,80.6,8,1,68.0,33.4,633,0.585,167.0,0,10,,
43,Nashik Highway Project #43,Nashik,Highway,929.9,91.1,46,11.9,2,2,69.8,76.9,306,0.38,77.8,0,12,,
44,Pune Metro Project #44,Pune,Metro,58.6,21.3,30,44.5,5,15,69.5,30.1,226,0.466,75.2,1,155,,
45,Pune Metro Project #45,Pune,Metro,121.6,45.4,98,16.2,4,3,56.9,46.8,237,0.358,81.2,1,21,,
46,Mumbai Railway Project #46,Mumbai,Railway,287.8,86.6,38,81.3,4,13,65.0,34.7,41,0.411,158.6,0,12,,
47,Pune Highway Project #47,Pune,Highway,685.8,91.6,37,76.4,9,6,82.9,31.5,440,0.315,99.7,0,7,,
48,Aurangabad Metro Project #48,Aurangabad,Metro,893.9,55.6,78,91.2,7,1,80.6,66.4,798,0.078,96.1,0,9,,
49,Pune Railway Project #49,Pune,Railway,486.9,63.5,46,31.3,0,6,13.1,14.1,179,0.037,97.0,0,4,,
50,Nashik Railway Project #50,Nashik,Railway,626.6,73.7,69,51.1,0,14,12.7,81.0,240,0.174,72.7,0,5,,
51,Nashik Highway Project #51,Nashik,Highway,229.1,84.9,7,26.6,2,4,85.5,59.2,79,0.252,50.6,0,0,,
52,Nashik Irrigation Project #52,Nashik,Irrigation,814.7,20.9,103,43.4,10,14,61.7,84.6,120,0.89,66.0,1,133,,
53,Nashik Railway Project #53,Nashik,Railway,969.0,82.9,85,57.0,1,15,96.2,29.2,98,0.611,68.6,0,3,,
54,Aurangabad Irrigation Project #54,Aurangabad,Irrigation,305.2,53.3,64,14.8,1,7,48.8,73.8,11,0.958,110.5,0,0,,
55,Nagpur Irrigation Project #55,Nagpur,Irrigation,520.1,50.6,12,74.3,1,7,25.9,47.9,65,0.34,106.8,0,6,,
56,Mumbai Metro Project #56,Mumbai,Metro,131.8,48.2,54,58.9,3,4,52.6,16.9,679,0.402,142.4,0,9,,
57,Nashik Irrigation Project #57,Nashik,Irrigation,581.2,55.8,87,84.6,0,9,49.3,77.7,280,0.72,63.8,0,3,,
58,Pune Highway Project #58,Pune,Highway,527.6,95.1,84,34.5,9,7,56.5,78.6,283,0.578,84.6,1,71,,
59,Nashik Metro Project #59,Nashik,Metro,187.2,59.3,108,91.3,8,11,82.7,34.4,553,0.528,64.8,0,10,,
60,Pune Metro Project #60,Pune,Metro,470.0,95.8,42,99.9,4,13,69.0,92.4,279,0.576,88.7,0,6,,
61,Pune Metro Project #61,Pune,Metro,367.4,26.2,3,92.7,4,8,26.7,78.8,199,0.584,93.1,0,6,,
62,Nashik Railway Project #62,Nashik,Railway,545.7,75.2,70,80.0,8,6,76.1,37.6,731,0.766,87.7,0,8,,
63,Aurangabad Railway Project #63,Aurangabad,Railway,606.4,83.1,59,83.1,4,5,63.3,31.5,492,0.668,118.7,0,8,,
64,Pune Irrigation Project #64,Pune,Irrigation,58.1,71.1,11,61.6,12,6,62.0,49.6,317,0.957,103.2,0,6,,
65,Pune Metro Project #65,Pune,Metro,773.0,64.6,58,27.1,12,6,71.0,36.4,31,0.948,85.2,1,69,,
66,Nashik Metro Project #66,Nashik,Metro,727.4,60.8,76,70.9,10,2,60.8,29.5,23,0.422,60.0,0,9,,
67,Pune Highway Project #67,Pune,Highway,398.0,87.5,53,74.1,7,5,51.2,45.9,495,0.036,98.0,0,8,,
68,Pune Irrigation Project #68,Pune,Irrigation,100.3,83.9,43,98.7,10,5,67.6,12.3,727,0.011,89.8,0,4,,
69,Nashik Highway Project #69,Nashik,Highway,767.2,21.0,15,58.7,0,10,75.1,46.1,555,0.123,77.3,0,1,,
70,Nashik Irrigation Project #70,Nashik,Irrigation,957.4,86.4,5,34.4,0,8,30.3,29.9,473,0.075,61.2,0,8,,
71,Mumbai Irrigation Project #71,Mumbai,Irrigation,278.1,47.3,13,71.5,3,0,54.7,33.8,577,0.373,156.5,0,5,,
72,Aurangabad Railway Project #72,Aurangabad,Railway,357.3,32.8,114,98.1,7,12,51.2,17.4,761,0.053,108.2,0,5,,
73,Aurangabad Railway Project #73,Aurangabad,Railway,224.6,88.3,111,25.9,2,15,13.6,63.0,442,0.625,105.4,1,51,,
74,Pune Highway Project #74,Pune,Highway,598.1,48.9,57,39.3,0,6,85.1,52.5,584,0.19,86.3,0,14,,
75,Aurangabad Irrigation Project #75,Aurangabad,Irrigation,197.1,82.8,30,58.8,10,15,44.0,77.6,409,0.514,114.9,0,12,,
76,Pune Metro Project #76,Pune,Metro,388.4,33.7,99,25.3,11,0,16.5,98.8,601,0.103,97.7,1,78,,
77,Mumbai Railway Project #77,Mumbai,Railway,712.2,10.4,100,12.0,8,9,51.2,20.8,561,0.828,146.3,1,136,,
78,Nashik Metro Project #78,Nashik,Metro,582.1,54.6,40,40.3,8,12,24.5,34.5,288,0.78,73.4,1,145,,
79,Nashik Highway Project #79,Nashik,Highway,417.1,19.0,119,87.9,8,15,73.4,71.4,777,0.386,73.4,0,1,,
80,Nashik Railway Project #80,Nashik,Railway,449.2,77.9,34,13.9,8,3,61.5,31.4,119,0.911,77.4,1,139,,
81,Aurangabad Railway Project #81,Aurangabad,Railway,584.0,34.8,117,48.6,1,12,34.3,12.7,57,0.186,119.9,0,2,,
82,Mumbai Irrigation Project #82,Mumbai,Irrigation,55.6,49.9,9,78.6,10,6,95.5,19.9,753,0.814,168.1,0,0,,
83,Aurangabad Highway Project #83,Aurangabad,Highway,124.6,17.8,80,95.8,10,5,36.3,49.0,91,0.546,105.3,0,3,,
84,Aurangabad Irrigation Project #84,Aurangabad,Irrigation,887.2,35.8,114,98.7,10,5,59.9,48.8,695,0.33,124.6,0,1,,
85,Mumbai Railway Project #85,Mumbai,Railway,124.0,80.3,105,48.0,3,4,82.1,97.5,634,0.084,151.2,1,122,,
86,Mumbai Highway Project #86,Mumbai,Highway,721.5,23.6,29,95.5,1,10,56.3,51.9,287,0.171,139.1,0,11,,
87,Mumbai Railway Project #87,Mumbai,Railway,924.0,68.2,43,13.2,6,6,96.5,71.0,390,0.863,143.5,1,33,,
88,Mumbai Highway Project #88,Mumbai,Highway,307.1,92.6,54,77.1,10,8,85.9,54.3,319,0.607,154.7,0,10,,
89,Nashik Railway Project #89,Nashik,Railway,402.0,71.2,70,67.8,2,13,92.9,34.3,561,0.237,77.2,0,3,,
90,Nagpur Metro Project #90,Nagpur,Metro,590.5,83.0,17,32.5,8,5,43.5,19.5,551,0.496,109.8,1,113,,
91,Nagpur Metro Project #91,Nagpur,Metro,887.6,19.8,82,55.7,6,9,59.4,87.3,776,0.108,112.4,0,5,,
92,Mumbai Irrigation Project #92,Mumbai,Irrigation,944.8,32.6,78,21.7,7,6,85.6,23.7,249,0.099,144.7,1,142,,
93,Nagpur Metro Project #93,Nagpur,Metro,752.6,90.5,102,88.4,8,8,91.3,18.7,192,0.908,111.4,0,11,,
94,Nagpur Railway Project #94,Nagpur,Railway,132.3,74.4,107,42.2,7,6,95.0,29.2,193,0.458,101.2,1,62,,
95,Mumbai Railway Project #95,Mumbai,Railway,685.7,67.6,85,66.3,6,5,89.1,10.2,563,0.362,127.8,0,5,,
96,Nagpur Metro Project #96,Nagpur,Metro,439.8,69.7,38,24.3,8,2,75.8,16.5,475,0.949,116.2,1,17,,
97,Aurangabad Irrigation Project #97,Aurangabad,Irrigation,497.2,47.3,41,28.6,10,13,12.2,67.2,648,0.399,112.5,1,168,,
98,Pune Metro Project #98,Pune,Metro,96.7,14.0,120,99.3,0,0,38.3,31.9,446,0.336,96.6,0,14,,
99,Pune Highway Project #99,Pune,Highway,231.5,80.6,119,77.8,10,9,21.6,40.5,603,0.273,76.4,0,3,,
100,Mumbai Highway Project #100,Mumbai,Highway,801.0,71.1,53,96.6,3,15,23.9,85.2,242,0.565,136.5,0,7,,
101,Nashik Highway Project #101,Nashik,Highway,481.3,52.6,29,36.6,3,15,36.2,79.6,713,0.558,64.7,1,166,,
102,Mumbai Metro Project #102,Mumbai,Metro,336.6,91.0,19,24.8,4,8,16.7,54.3,10,0.016,150.0,1,177,,
103,Nashik Metro Project #103,Nashik,Metro,414.8,40.3,95,55.3,7,6,31.9,65.2,514,0.654,80.1,0,11,,
104,Pune Metro Project #104,Pune,Metro,861.7,36.5,41,54.5,9,14,96.1,17.7,371,0.788,97.2,0,14,,
105,Mumbai Highway Project #105,Mumbai,Highway,761.5,88.6,88,25.7,0,2,38.1,78.5,728,0.616,146.3,0,9,,
106,Aurangabad Irrigation Project #106,Aurangabad,Irrigation,308.7,81.7,86,76.0,5,9,24.4,56.5,718,0.87,113.6,0,2,,
107,Nagpur Railway Project #107,Nagpur,Railway,161.6,56.3,4,42.6,8,15,74.6,61.4,292,0.276,111.6,1,155,,
108,Nashik Metro Project #108,Nashik,Metro,289.4,21.8,49,26.8,9,8,84.6,69.9,538,0.192,70.7,1,150,,
109,Nagpur Irrigation Project #109,Nagpur,Irrigation,924.7,29.4,40,39.9,7,2,38.3,55.0,178,0.697,119.4,1,157,,
110,Nagpur Railway Project #110,Nagpur,Railway,602.5,69.1,93,60.7,1,2,35.1,57.0,195,0.189,134.0,0,3,,
111,Mumbai Railway Project #111,Mumbai,Railway,556.8,44.7,111,75.4,6,12,31.8,55.0,131,0.091,154.9,0,0,,
112,Nagpur Railway Project #112,Nagpur,Railway,616.6,85.3,38,53.4,4,13,45.4,54.7,450,0.097,112.3,0,11,,
113,Aurangabad Irrigation Project #113,Aurangabad,Irrigation,397.7,95.5,56,57.3,1,6,17.9,77.5,745,0.768,102.4,0,9,,
114,Nagpur Irrigation Project #114,Nagpur,Irrigation,816.8,82.5,90,22.5,10,1,70.2,48.4,648,0.029,116.7,1,115,,
115,Mumbai Highway Project #115,Mumbai,Highway,547.1,44.0,56,92.3,0,9,84.0,10.3,687,0.289,134.4,0,5,,
116,Aurangabad Irrigation Project #116,Aurangabad,Irrigation,160.9,81.0,105,93.6,1,13,69.7,65.1,483,0.129,107.7,0,14,,
117,Pune Irrigation Project #117,Pune,Irrigation,172.6,41.6,36,71.5,10,6,47.9,95.7,131,0.755,88.6,0,9,,
118,Nagpur Irrigation Project #118,Nagpur,Irrigation,560.0,25.0,6,11.6,9,6,36.0,33.1,741,0.503,124.7,1,141,,
119,Mumbai Railway Project #119,Mumbai,Railway,939.7,13.0,4,58.3,5,0,46.9,83.5,800,0.205,156.1,0,11,,
120,Pune Metro Project #120,Pune,Metro,342.9,44.7,78,66.6,10,12,48.1,51.0,669,0.75,91.0,0,11,,
121,Pune Highway Project #121,Pune,Highway,876.1,91.3,50,99.5,11,9,69.9,67.9,301,0.75,73.7,0,6,,
122,Nashik Metro Project #122,Nashik,Metro,775.9,31.5,105,99.6,7,10,93.5,90.2,256,0.523,57.8,0,2,,
123,Aurangabad Metro Project #123,Aurangabad,Metro,285.4,28.6,7,87.2,2,1,16.4,79.4,197,0.276,103.9,0,11,,
124,Nagpur Irrigation Project #124,Nagpur,Irrigation,84.5,97.3,55,15.7,4,4,95.8,89.6,532,0.586,126.5,1,31,,
125,Mumbai Highway Project #125,Mumbai,Highway,146.8,12.3,72,95.8,10,13,91.9,10.9,293,0.934,156.2,0,7,,
126,Nashik Metro Project #126,Nashik,Metro,742.1,80.7,10,65.1,1,3,20.6,26.9,566,0.052,67.5,0,6,,
127,Aurangabad Metro Project #127,Aurangabad,Metro,239.7,38.9,21,82.1,11,13,26.5,48.1,133,0.267,133.6,0,1,,
128,Nashik Highway Project #128,Nashik,Highway,402.7,13.4,97,46.6,7,2,38.0,86.3,256,0.285,85.6,1,132,,
129,Aurangabad Irrigation Project #129,Aurangabad,Irrigation,526.6,92.6,98,38.8,3,9,60.4,85.5,415,0.632,122.4,1,100,,
130,Aurangabad Metro Project #130,Aurangabad,Metro,739.2,22.6,76,51.7,10,13,22.1,26.7,346,0.651,117.0,1,80,,
131,Nagpur Railway Project #131,Nagpur,Railway,157.6,59.7,10,23.2,9,10,28.0,22.8,168,0.206,124.6,1,16,,
132,Aurangabad Metro Project #132,Aurangabad,Metro,436.0,34.7,59,42.1,11,7,91.2,85.1,276,0.216,113.9,1,31,,
133,Nashik Railway Project #133,Nashik,Railway,510.8,15.9,95,87.2,5,6,19.8,58.7,301,0.928,51.9,0,6,,
134,Aurangabad Irrigation Project #134,Aurangabad,Irrigation,563.8,14.5,105,13.4,2,8,45.9,66.4,599,0.756,99.5,0,7,,
135,Nagpur Metro Project #135,Nagpur,Metro,827.4,20.4,14,23.6,10,15,78.7,82.8,160,0.934,117.8,1,122,,
136,Nagpur Highway Project #136,Nagpur,Highway,213.1,16.4,37,21.3,7,15,90.0,29.1,294,0.83,121.3,1,121,,
137,Nashik Highway Project #137,Nashik,Highway,817.4,78.5,0,46.3,7,2,40.2,22.3,160,0.402,68.8,1,148,,
138,Pune Metro Project #138,Pune,Metro,708.2,53.7,45,99.7,2,9,24.8,87.3,133,0.122,92.7,0,8,,
139,Pune Irrigation Project #139,Pune,Irrigation,578.1,40.9,113,25.6,11,0,76.3,20.1,749,0.63,69.0,1,59,,
140,Aurangabad Irrigation Project #140,Aurangabad,Irrigation,714.6,47.7,87,23.1,8,8,79.5,17.9,281,0.352,115.1,1,15,,
141,Mumbai Highway Project #141,Mumbai,Highway,441.4,93.6,42,92.4,9,15,98.2,34.9,349,0.425,150.6,0,14,,
142,Aurangabad Metro Project #142,Aurangabad,Metro,181.5,92.0,103,89.4,12,8,22.6,38.5,738,0.426,108.1,0,0,,
143,Nashik Irrigation Project #143,Nashik,Irrigation,682.5,74.4,21,12.9,4,11,73.8,31.7,668,0.937,79.3,1,153,,
144,Nashik Highway Project #144,Nashik,Highway,548.4,89.6,2,77.7,9,11,47.6,76.7,739,0.069,59.5,0,5,,
145,Nashik Railway Project #145,Nashik,Railway,657.4,38.8,13,69.0,8,0,92.3,97.6,617,0.193,67.6,0,7,,
146,Nashik Metro Project #146,Nashik,Metro,371.1,44.3,1,79.1,6,15,46.7,28.0,456,0.608,72.8,1,143,,
147,Nashik Railway Project #147,Nashik,Railway,911.5,65.2,60,54.5,9,13,50.1,80.4,571,0.884,61.5,0,13,,
148,Nagpur Railway Project #148,Nagpur,Railway,608.0,66.1,31,99.2,2,7,21.4,14.0,466,0.918,100.0,0,14,,
149,Pune Irrigation Project #149,Pune,Irrigation,131.1,53.4,111,13.9,5,13,38.9,20.7,564,0.559,78.5,1,124,,
150,Nashik Irrigation Project #150,Nashik,Irrigation,477.3,46.1,37,31.1,9,13,46.1,56.4,540,0.035,69.4,1,63,,
151,Mumbai Irrigation Project #151,Mumbai,Irrigation,768.5,98.8,96,45.7,1,9,11.6,100.0,122,0.363,147.5,0,5,,
152,Mumbai Metro Project #152,Mumbai,Metro,804.4,83.9,45,50.5,5,0,49.4,95.4,734,0.919,149.8,0,3,,
153,Mumbai Railway Project #153,Mumbai,Railway,519.9,49.1,41,92.9,11,5,40.3,20.1,539,0.5,143.4,1,108,,
154,Mumbai Metro Project #154,Mumbai,Metro,900.0,75.5,5,60.4,4,8,82.3,31.6,655,0.727,136.9,0,9,,
155,Nagpur Irrigation Project #155,Nagpur,Irrigation,304.3,34.3,40,14.1,12,2,19.6,95.1,535,0.269,121.4,1,178,,
156,Mumbai Railway Project #156,Mumbai,Railway,440.1,19.0,102,46.7,2,5,78.4,23.6,73,0.025,148.3,0,5,,
157,Nashik Metro Project #157,Nashik,Metro,903.7,41.7,24,47.5,6,15,74.3,76.9,402,0.578,76.4,1,60,,
158,Aurangabad Metro Project #158,Aurangabad,Metro,901.4,46.3,97,96.9,10,2,31.8,10.1,684,0.835,102.5,1,29,,
159,Mumbai Highway Project #159,Mumbai,Highway,701.4,11.5,10,63.9,3,10,17.5,66.9,779,0.99,129.8,0,2,,
160,Nagpur Metro Project #160,Nagpur,Metro,866.0,83.3,109,67.2,10,13,85.8,54.5,508,0.847,94.0,0,11,,
161,Nagpur Irrigation Project #161,Nagpur,Irrigation,134.3,42.3,100,74.2,5,4,32.4,52.4,527,0.554,116.0,0,11,,
162,Mumbai Metro Project #162,Mumbai,Metro,871.7,62.2,40,79.3,8,10,23.1,84.6,364,0.609,151.3,0,6,,
163,Aurangabad Railway Project #163,Aurangabad,Railway,354.6,16.7,70,67.2,11,13,42.3,17.3,642,0.824,107.7,1,165,,
164,Mumbai Metro Project #164,Mumbai,Metro,219.4,25.7,56,31.3,5,6,46.1,44.0,162,0.02,144.3,1,124,,
165,Nagpur Highway Project #165,Nagpur,Highway,277.4,90.1,45,88.7,3,10,39.3,50.1,338,0.952,104.1,0,5,,
166,Pune Railway Project #166,Pune,Railway,447.1,64.8,111,75.9,9,9,97.9,21.2,699,0.531,71.1,0,6,,
167,Nashik Railway Project #167,Nashik,Railway,288.6,95.5,85,76.8,1,11,89.3,17.7,488,0.952,73.7,0,14,,
168,Nagpur Highway Project #168,Nagpur,Highway,354.5,99.9,47,99.7,8,3,88.6,26.2,400,0.765,117.7,0,4,,
169,Mumbai Irrigation Project #169,Mumbai,Irrigation,178.2,43.5,62,82.2,3,3,45.9,31.7,584,0.152,146.4,0,4,,
170,Nashik Railway Project #170,Nashik,Railway,331.4,36.9,38,84.6,3,6,96.7,96.9,421,0.165,54.6,0,1,,
171,Mumbai Irrigation Project #171,Mumbai,Irrigation,593.7,87.3,9,95.6,1,4,71.6,52.8,267,0.354,140.3,0,5,,
172,Mumbai Railway Project #172,Mumbai,Railway,469.8,99.9,84,23.6,4,0,84.9,55.9,586,0.264,150.5,1,75,,
173,Pune Railway Project #173,Pune,Railway,379.4,66.7,69,54.8,12,10,55.1,73.6,516,0.439,92.8,0,6,,
174,Nashik Irrigation Project #174,Nashik,Irrigation,759.1,81.6,112,62.3,5,14,24.5,71.6,708,0.604,68.4,1,79,,
175,Nashik Railway Project #175,Nashik,Railway,898.8,80.4,64,39.6,9,9,89.8,55.2,748,0.437,83.8,1,167,,
176,Pune Irrigation Project #176,Pune,Irrigation,768.9,42.0,97,85.5,5,12,53.8,40.6,720,0.056,84.2,0,10,,
177,Nagpur Highway Project #177,Nagpur,Highway,365.4,61.7,58,78.6,2,14,97.2,39.8,303,0.976,132.9,0,6,,
178,Mumbai Irrigation Project #178,Mumbai,Irrigation,757.2,85.0,77,74.9,11,11,32.9,15.2,772,0.425,152.2,0,8,,
179,Aurangabad Highway Project #179,Aurangabad,Highway,194.4,71.9,35,99.7,8,12,99.3,91.0,486,0.851,111.1,0,0,,
180,Mumbai Railway Project #180,Mumbai,Railway,173.8,11.9,26,33.3,6,14,30.0,79.2,714,0.074,159.3,1,66,,
181,Mumbai Irrigation Project #181,Mumbai,Irrigation,378.3,40.3,72,76.2,12,1,43.1,66.1,517,0.81,143.8,0,7,,
182,Nagpur Railway Project #182,Nagpur,Railway,817.3,23.0,54,59.6,2,5,63.5,45.6,128,0.173,116.7,0,1,,
183,Mumbai Irrigation Project #183,Mumbai,Irrigation,284.0,31.0,69,38.2,3,12,72.4,62.4,700,0.679,137.8,1,91,,
184,Pune Highway Project #184,Pune,Highway,110.1,91.5,94,24.5,6,11,74.8,53.7,487,0.662,99.4,1,133,,
185,Pune Highway Project #185,Pune,Highway,175.1,13.3,80,90.6,10,8,52.9,34.7,573,0.91,93.4,1,104,,
186,Nashik Irrigation Project #186,Nashik,Irrigation,865.8,29.8,52,63.6,7,6,16.9,36.9,631,0.321,81.0,0,12,,
187,Aurangabad Highway Project #187,Aurangabad,Highway,652.1,37.9,106,84.2,5,3,54.6,88.7,745,0.109,112.0,0,11,,
188,Mumbai Railway Project #188,Mumbai,Railway,290.5,65.5,59,59.1,3,14,40.1,67.1,619,0.865,161.0,0,3,,
189,Mumbai Railway Project #189,Mumbai,Railway,577.5,58.1,60,29.8,11,11,69.2,10.1,328,0.332,142.5,1,30,,
190,Nagpur Metro Project #190,Nagpur,Metro,551.2,29.6,35,40.4,1,11,26.4,39.4,404,0.233,129.9,0,11,,
191,Pune Highway Project #191,Pune,Highway,672.7,24.8,84,44.3,9,14,45.5,40.6,57,0.486,86.0,1,33,,
192,Aurangabad Railway Project #192,Aurangabad,Railway,271.5,31.3,26,97.6,7,12,97.0,73.6,622,0.146,110.0,0,9,,
193,Nashik Irrigation Project #193,Nashik,Irrigation,871.2,55.2,40,10.5,0,1,18.0,73.0,447,0.297,77.3,0,7,,
194,Pune Highway Project #194,Pune,Highway,343.9,34.4,27,98.7,8,3,64.2,51.8,484,0.385,113.3,0,1,,
195,Nashik Railway Project #195,Nashik,Railway,709.4,95.3,15,98.2,7,15,18.2,95.6,761,0.277,78.2,0,0,,
196,Nagpur Highway Project #196,Nagpur,Highway,65.3,51.7,34,99.7,2,13,24.1,88.5,595,0.45,129.1,0,0,,
197,Nagpur Irrigation Project #197,Nagpur,Irrigation,404.0,15.3,35,52.9,9,4,64.4,88.0,559,0.385,114.5,0,9,,
198,Mumbai Railway Project #198,Mumbai,Railway,384.1,75.6,55,96.7,3,1,50.0,41.3,737,0.775,151.6,0,4,,
199,Aurangabad Metro Project #199,Aurangabad,Metro,566.3,39.6,98,45.6,9,0,59.4,48.8,145,0.918,109.0,1,19,,
200,Nashik Metro Project #200,Nashik,Metro,119.1,68.8,108,12.4,3,15,89.2,47.7,527,0.101,84.1,1,41,,
201,Pune Highway Project #201,Pune,Highway,800.6,35.2,18,30.2,1,3,83.6,49.6,768,0.823,88.5,0,14,,
202,Nagpur Irrigation Project #202,Nagpur,Irrigation,256.9,61.4,56,95.1,11,10,89.9,90.0,333,0.932,133.3,0,6,,
203,Mumbai Railway Project #203,Mumbai,Railway,693.2,79.5,84,11.2,10,12,65.5,32.4,206,0.687,137.0,1,85,,
204,Mumbai Irrigation Project #204,Mumbai,Irrigation,813.1,93.5,32,59.1,9,5,54.1,82.2,120,0.996,164.0,0,2,,
